first_name,last_name,dob,gender
MARCO,SOUSA,2/11/1910,M
DOMINICK,DIABO,5/15/1917,M
WILLIE,KULESZA,3/12/1988,F
MICHELE,FINCKE,5/17/1904,M
Annette,BRITO,11/7/1997,F
PAULINE,FORMAN,1/10/1936,F
NANCY,COLEMAN,9/14/1939,F
ROBERT,GATELY,11/9/1937,F
RONALD,DAVIS,12/8/1993,F
TERRY,PIERCE,11/28/1994,F
JEANNETTE,LENNAN,8/27/1927,F
WILLIAM,DIMITRI,9/24/1912,F
ROSEMARY,MCAREE,10/5/1976,F
ANGELA,PESAK,1/23/1976,F
Susie,VOGEL,11/12/1960,F
JOSEPHINE,MICCICHI,2/13/1959,M
KIRK,EVANS,5/15/1960,M
David,GARDNER,10/6/1979,M
SONYA,SINER,8/6/1998,M
PATRICIA,HACKETT,11/25/1981,F
JAMES,LYNCH-PACHECO,4/17/1901,M
WILLIAM,HOAR,8/26/1925,F
RONA,ROSS,10/9/1903,M
STANLEY,HUNT,11/2/1990,M
ROBERT,Dellamarggio,7/10/1909,M
HAZEL,JOYCE,1/18/1973,F
WENDY,JOYCE,11/8/1933,F
CHARLOTTE,EMIG,6/28/1914,F
TYRONE,GOUDREAU,10/31/1979,F
NORMA,WANDELEAR,6/17/1919,F
CLAIRE,REGAN,8/20/1933,F
MARTHA,TRETOLA,9/25/1907,F
DEXTER,Boulanger,3/7/1935,M
STACI,LEWIS,1/17/1938,F
JEANNE,DISALVO,12/3/1919,M
ROSEMARY,SAINT CYR,10/3/1999,F
EDDIE,ISO,10/11/1943,F
HAROLD,BUMP,8/25/1973,F
DEXTER,HARGREAVES,3/18/1985,M
MANUEL,FLYNN,6/16/1946,F
KIRK,PALM,4/19/1901,M
PATRICIA,PALM,9/5/1916,F
PRISCILLA,WARMINGTON,1/12/1961,F
LAWRENCE,GUYETTE,6/9/1978,F
GERALDINE,JOHNSON,6/9/1950,F
VILMA,SANTER,4/23/1994,F
FANNIE,BARRY,4/30/1907,F
DIANE,MASCIARELLI,4/18/1902,M
PATRICIA,MASCIARELLI,3/18/1939,F
MARY,LOMBARDI,4/15/1979,F
SUNIA,SAFFAREWICH,7/20/1914,F
V,SHACKELFORD,4/14/1951,F
MARGARET,RUCKER,11/13/1950,F
TERRY,KOGAN,5/27/1989,F
WILLIE,MORSE,8/8/1990,F
VIRGINIA,SANCHEZ,6/7/1905,M
JOANN,REED,11/11/1917,F
ANGELA,SENNA,12/11/1993,F
SHIRLEY,LAVOIE,5/14/1910,F
JAMES,SCHWARTZ,11/8/1923,F
RAYMOND,DOYLE,6/9/1948,F
ORLANDO,SHEARER,11/29/1986,F
MISAEL,SULLIVAN,10/9/1911,M
RICHARD,LOBAO,4/3/1956,M
ARLENE,LOBAO,9/30/1913,F
WILLIE,Hannaford,3/24/1919,F
GILBERT,MCINERNEY,12/1/1988,F
KENNETH,MCGOEY,4/28/1925,F
KATHLEEN,WHITE,10/18/1944,M
JOYCE,RUSSO,12/18/1915,F
ANGELA,GRAZIANI,9/25/1959,F
LAURA,BENANTO,10/4/1993,M
ROSEMARY,BENANTO,1/22/1916,F
JOBED,CONNORS,4/25/1994,F
VIRGINIA,ROCHA NAZARCHYK,8/9/1910,M
Annette,LAUZON,1/20/1977,F
LEWIS,WALSH,6/6/1967,F
ROBERT,SATTER,10/2/1995,F
DEXTER,KEEFE,11/9/1908,M
WILLIAM,SEIBER,12/8/1943,M
WILLIE,DAMICO,2/21/1959,F
LYDIA,FLYNN,6/1/1984,F
BEATRICE,Sherrow Heidenis,11/25/1975,F
THOMAS,CHAMBERS,12/19/1900,F
DEXTER,SCHEPIS,1/24/1996,M
MICHAEL,DILISIO,1/28/1973,M
GLORIA,RICHARDSON,6/9/1961,M
JAMES,EDMONDS,2/19/1907,M
DEXTER,BARRON,8/23/1941,M
EMANUELA,DEAN,4/18/1933,F
WILLIAM,DEVANEY,3/21/1920,M
ROSEMARY,Johnson,3/15/1982,F
GEORGE,Murdocca,5/7/1920,F
ANGELA,BOUDAKIAN,6/1/1981,F
SUSAN,DAMICO,7/22/1930,F
WILLIAM,DUFFY,6/20/1949,M
WILLIAM,TRILISER,4/27/1937,F
MORRIS,BINION,4/10/1978,M
ELLEN,WHITE,5/10/1930,M
WENDY,SIMKINS,1/23/1918,F
LOUIS,LEMAIRE,4/12/1978,M
LAURA,BRUM,4/12/1929,M
WENDY,MARINO,4/5/1903,F
ANTHONY,DUYCK,12/7/1964,F
JUDITH,GONZALEZ,2/15/1980,F
WILLIE,SPENCE JR,10/3/1931,F
FANNIE,HACKER,7/2/1928,F
LYNNEA,SEAMAN,12/12/1993,F
KIRK,BUTLER,8/13/1901,M
THOMAS,MARZELLI,2/5/1910,F
MARJORIE,TOCE,6/18/1906,M
JOSEPHINE,WOOD,9/7/1938,M
TERRY,WOOD,5/17/1971,F
RAYMOND,ROCKETT,6/2/1950,F
ANN,HERLIHY,6/3/1968,F
WILLIAM,SMITH,3/16/1924,M
RICHARD,PIERCE,11/27/1998,M
PAUL,ELSHOLZ,11/27/1979,F
WENDY,GULLIFA,7/22/1944,F
VERONICA,MATHEWS,1/8/1979,F
ANNE,GAGNON,6/9/1918,F
SUNIA,MIHALIK,4/30/1903,F
TERRY,HENRIQUES,5/28/1996,F
LINDA,LAFLEUR,4/30/1931,M
ANGELA,WAGSTAFF,11/28/1959,F
ANGELA,FREEMAN,2/26/1999,F
ROSEMARY,WAGSTAFF,11/30/1953,F
TYRONE,KITCHENS,9/25/1933,F
VIRGINIA,RICCIO,6/9/1979,F
ROBERT,BISOGNANO,5/16/1962,F
DEXTER,SULLIVAN,6/8/1987,M
RICHARD,DUCK,11/16/1965,F
DAVID,DAVIES,4/28/1921,M
WILLIE,GUYETTE,10/7/1955,F
CLAIRE,WELCH,6/12/1946,F
GERALDINE,STRUTHERS,1/28/1931,F
JOSEPHINE,Boulanger,6/13/1997,M
V,ZIMMER,6/11/1995,F
JOANN,Love,7/29/1981,F
WILLIE,MCHUGH,10/29/1918,F
JOSEPH,Froh,9/15/1932,M
RONALD,Froh,7/1/1906,F
RAYMOND,SAIN,5/29/1940,F
ANGELA,RAPHAEL,2/4/1906,F
SUSAN,NAZZARO,6/30/1928,M
WILLIAM,STERITE,11/10/1934,M
NANCY,MOCADLO,11/11/1987,F
JAMES,Murdocca,1/1/1902,M
EDDIE,DRIVER,10/7/1928,F
PHYLLIS,ABRAMOVSKAYA,8/17/1943,M
JOHN,EMIG,4/25/1998,F
MARTHA,WAILONIS,9/10/1990,F
ALEXANDER,SESAY,8/28/1916,F
ELIZABETH,DONOVAN,2/10/1953,M
EDWIN,DONOVAN,2/12/1940,F
ELEANOR,PHELAN,10/5/1941,F
ANDREW,BELL,7/10/1998,M
PATRICIA,FITZPATRICK,10/10/1983,F
JULIO,WOOD,8/13/1907,F
MARY,SEPA,7/11/1918,F
ANN,HERSOM,5/14/1989,F
WILLIAM,SKYPECK,7/30/1928,F
EMANUELA,PLAUSSE,9/7/1978,F
ROBERT,CHAPPELL,5/13/1950,F
JOSEPH,WALLACE,11/6/1961,M
DOMINICK,ROSE,6/20/1928,M
JUDITH,Levesque,10/10/1989,F
RAYMOND,BASDEKIAN,6/21/1963,F
PAUL,MITCHELL,2/2/1928,F
ANN,WATSON,1/4/1910,F
DEXTER,DAVIS,3/17/1990,M
ORLANDO,MCKAY,4/5/1993,F
ORLANDO,DOLLOFF,3/26/1920,F
JOAN,QUINLAN,7/18/1915,F
SUNIA,SZOSTEK,1/24/1995,F
MICHAEL,DALTON,5/27/1963,M
DIANE,WANDELEAR,8/18/1944,M
JOHN,TAYLOR,4/28/1961,F
BERTON,BRUNDIGE,4/19/1967,F
ALTINA,ODONNELL,4/20/1964,M
GERALDINE,TUTHILL,11/9/1928,F
LOUIS,LAPOINTE,11/28/1954,M
CAROLE,LEONARD,3/22/1965,F
BARBARA,GALVIN,12/17/1960,F
GEORGE,MOORER,11/30/1943,F
KIRK,DILISIO,7/6/1953,M
WAYNE,MEDEIROS,12/26/1961,M
DEBBIE,WADE,3/24/1985,M
CAROLINE,ELMES,9/18/1910,M
KIRK,STUBBS,3/27/1935,M
ROBERT,OSTROSKI,10/7/1968,F
SUZANNE,BAKER,5/4/1970,M
FRANCESCO,WARREN,3/25/1905,M
RUTH,HESS,5/12/1972,M
LOUIS,HARBACH,12/29/1914,M
DEXTER,CORPE,2/7/1904,M
ANTHONY,LOURO,1/15/1906,F
MARTHA,LOPES JR,8/4/1976,F
SUSAN,KENNEY,9/19/1905,F
CAROLINE,KATSARAKES,8/18/1988,M
MARGARET,SPEARIN,2/7/1997,F
FREDERICK,ERICKSON,6/10/1934,F
PRISCILLA,KNAPP,7/31/1994,F
DAVID,GIOVANNACCI,9/4/1901,F
ANTHONY,MONTVILLE,10/6/1977,F
LOUIS,FRASCHETTI,6/23/1947,M
GILBERT,WRAY,1/19/1969,F
DOROTHY,JOHNSON,9/18/1946,M
JOSEPHINE,SWARTZ,11/10/1914,M
ANGELA,JOHNSTONE,7/24/1985,F
DEXTER,CLAIBORNE,4/2/1939,M
CAROL,KANE,11/28/1960,F
ANGELA,CUTTING,10/2/1935,F
WILLIAM,IGER,1/29/1919,M
ELIZABETH,OCONNOR-CATALDO,4/5/1984,M
MARCO,CARON,5/11/1902,M
THERESA,CARON,6/26/1987,F
NORMA,WANDELEAR,6/24/1937,F
JAMES,CAMPOS ESCOFFIE,11/5/1948,M
WILLIAM,PALMER,9/18/1933,M
ANNE,DJEU,5/29/1988,F
GEORGE,HATCH,7/15/1917,F
HELEN,WOOD,10/7/1962,F
DOROTHY,VARGAS HERNANDEZ,1/7/1951,M
ROSEMARY,DUNBRACK,6/25/1969,F
EDWIN,SANTOS,4/14/1947,F
JOHN,DAVIS,8/9/1960,F
ANA,OBER,12/10/1904,M
RONALD,MAYER,6/23/1993,F
JOSEPHINE,WHITE,9/14/1904,M
JOHN,REYNOLDS,3/17/1915,F
LAURETTE,STAFF,10/20/1938,M
JOSEPH,COOK,6/27/1953,M
LINDA,LOOMIS,11/20/1909,M
FREDERICK,SUPECK JR,1/28/1944,F
DAVID,JOHNSON,9/5/1995,M
ANNE,JOHNSON,4/25/1967,F
Annette,FERREIRA,6/30/1958,F
WILLIAM,Rancourt,8/21/1990,M
PRISCILLA,Dvorin,1/27/1970,F
DEXTER,HERLIHY,7/9/1984,M
LOUIS,BROWN,5/11/1904,M
LOWE,ARAUJO,11/1/1920,F
RICHARD,COTTO,5/10/1928,M
ANGELA,KRIKIS,2/6/1969,F
RAYMOND,DEMBOWSKI,4/6/1966,F
LOWE,CORLITO,2/3/1953,F
EILEEN,MCGHEE JR,2/2/1906,F
EMANUELA,JABIESKI,12/22/1956,F
MATTHEW,CALDERONE,11/28/1930,M
JOAN,MCCRILLIS,9/26/1919,M
DOMINICK,COHANE,8/28/1926,M
MARCO,MANNERS,3/7/1921,M
LOUIS,HESS,2/29/1908,M
WILLIAM,MANDEVILLE,10/4/1930,M
SUZANNE,CRAMPTON,9/8/1960,M
EILEEN,COSTA,8/16/1979,F
ANGELA,CHRONISTER,9/6/1966,F
DEXTER,Murdocca,5/29/1994,M
LOUIS,OSBORNE,1/28/1914,M
ROBERT,MCDONOUGH,4/23/1983,F
WILLIAM,FERGUSON,10/10/1936,M
THOMAS,FERGUSON,8/6/1946,F
ETHEL,STONEROAD,1/12/1964,F
MARCO,SPEARS,8/3/1981,M
BERTON,MCDONNELL,5/16/1961,F
HELEN,KELLY,5/9/1934,F
JOAN,MICHAUD,4/28/1969,F
WENDY,SWARTZ,5/11/1955,F
RICHARD,CHEESMAN,9/13/1941,F
MARTHA,Dean,2/9/1939,F
DEXTER,FINITZER,1/7/1929,M
ELIZABETH,MCNEIL,3/6/1912,M
LAURA,GRANAI,7/20/1965,M
ANGELA,GRANAI,4/2/1910,F
WILLIAM,FAGAN,2/14/1957,M
LOELLA,PENNACCHIO,10/10/1951,M
PATRICIA,GAUDET,4/30/1932,F
JAMES,BANZHAF,3/5/1924,F
ANNE,Lawson,5/24/1991,F
LORRAINE,KEEN,11/7/1930,F
LAURA,MACKEY,8/4/1994,M
ALICE,ARRUDA JR,4/6/1990,M
MARCO,MURRAY,9/12/1995,M
JOAN,VELOZA,8/27/1988,F
CAROLINE,ADAMS,1/21/1935,F
LAXMIBEN,WASELCHUK,4/6/1946,M
ORLANDO,GRAY,10/19/1930,F
GEORGE,ROGOTZKE,8/14/1904,F
JUDITH,CANNIZZARO,10/23/1917,F
ANN,GOSLEE,11/4/1949,M
ALYCE,DALTON MORRIS,11/15/1908,F
WILLIAM,WINSTON,10/1/1967,M
SHIRLEY,BRYANT,6/21/1988,F
JOSEPH,GRAHAM,11/24/1985,M
FRANCINE,STUBBS,10/4/1955,F
MISAEL,WINSLOW,6/16/1964,M
EILEEN,BUTLER,5/7/1927,M
MARTHA,SHANKLIN,5/4/1941,F
DOROTHY,CRONIN,4/25/1923,M
ANN,DANIELS,5/24/1930,F
DAVID,CHACE,5/1/1927,M
JOAN,HESS,5/21/1974,F
LOIS,MERCURIO,4/14/1974,M
LAURA,MITCHELL,1/19/1950,F
WILLIAM,DE ALMEIDA,4/4/1908,F
WILLIE,FOUGERE,10/11/1962,F
ORLANDO,GUYETTE,7/5/1959,F
RAYMOND,HAIMILA,7/15/1912,F
SANDRA,LENCI,2/9/1969,M
DANIEL,BURKE,5/12/1900,M
ELIZABETH,Wielgosh,8/20/1927,M
LAURA,ANNAND,11/23/1909,M
VERONICA,WHALEN,7/10/1963,F
VIRGINIA,STRUTHERS,10/5/1936,F
SHIRLEY,MALKIN,10/10/1903,F
DEXTER,ARMINGTON,1/19/1952,M
ANGELA,PRATT,3/4/1919,F
BARBARA,SLOET,8/22/1936,F
JOAN,PEPPERMAN,7/26/1978,F
KEVIN,MESSANA,3/18/1999,F
LAXMIBEN,OKEEFE,3/31/1990,M
HOWARD,JOVENICH,10/24/1917,F
ESTELLA,KATZ,10/21/1961,F
GLORIA,BLACK,4/26/1960,F
JEANNE,TRETOLA,12/7/1963,M
JOSEPHINE,BRADY,6/29/1977,M
DIANE,HITCHCOCK JR,12/25/1958,F
ANGELA,MOZER,1/12/1991,F
DEXTER,HOWARD,11/12/1989,M
EILEEN,HOWARD,2/20/1927,F
IOSIF,CREEDEN,7/12/1922,M
TERRY,FERREIRA,4/18/1923,F
WILLIE,HASEMANN,12/17/1980,F
ALEXANDER,FINN,5/23/1988,F
LAURA,CAMPOS ESCOFFIE,9/1/1972,M
WILLIAM,WILSON,8/18/1979,M
BARBARA,WILLIAMS,3/7/1924,F
GILBERT,BAKER,1/6/1995,F
LOWE,MERCURIO,12/14/1932,F
JOAN,Prince,5/10/1904,F
JOSEPHINE,DIFFENBACH,2/27/1958,M
NORMAN,POLCYN,4/27/1964,F
WENDY,DEWILDE,1/25/1919,F
VILMA,OBRIEN,4/6/1936,F
RICHARD,PAVIDIS,10/9/1919,M
ORLANDO,OCONNOR-CATALDO,9/25/1939,F
RAYMOND,COLLINS III,12/29/1983,F
CAROL,JOVENICH,1/9/1970,M
ANGELA,HETHERINGTON,11/21/1901,F
FREDERICK,RYAN,3/28/1949,F
PAUL,MAZZARELLA,8/10/1926,F
DOROTHY,JOHNSON,2/4/1942,F
GERALD,PIERCE,5/23/1973,F
JOHN,PLOUFFE,3/12/1984,F
